source	target
http://www.ncbi.nlm.nih.gov/pubmed/8287938	hodson me
http://www.ncbi.nlm.nih.gov/pubmed/8287938	Imperial College London
http://www.ncbi.nlm.nih.gov/pubmed/8287938	Kings College London
http://www.ncbi.nlm.nih.gov/pubmed/8287938	marriott c
http://www.ncbi.nlm.nih.gov/pubmed/8287938	martin gp
http://www.ncbi.nlm.nih.gov/pubmed/8287938	ROYAL BROMPTON NATL HEART & LUNG HOSP
http://www.ncbi.nlm.nih.gov/pubmed/8287938	"ROYAL BROMPTON NATL HEART & LUNG HOSP,LONDON,ENGLAND"
http://www.ncbi.nlm.nih.gov/pubmed/8287938	ROYAL FREE HOSP
http://www.ncbi.nlm.nih.gov/pubmed/8287938	"ROYAL FREE HOSP,DEPT THORAC MED,LONDON,ENGLAND"
http://www.ncbi.nlm.nih.gov/pubmed/8287938	UCL Medical School
http://www.ncbi.nlm.nih.gov/pubmed/8287938	UNIV LONDON KINGS COLL
http://www.ncbi.nlm.nih.gov/pubmed/8287938	"UNIV LONDON KINGS COLL,DEPT PHARM,LONDON WC2R 2LS,ENGLAND"
http://www.ncbi.nlm.nih.gov/pubmed/8287938	University College London
http://www.ncbi.nlm.nih.gov/pubmed/8287938	University of London
http://www.ncbi.nlm.nih.gov/pubmed/8287953	burton dl
http://www.ncbi.nlm.nih.gov/pubmed/8287953	kano s
http://www.ncbi.nlm.nih.gov/pubmed/8287953	lanteri cj
http://www.ncbi.nlm.nih.gov/pubmed/8287953	PRINCESS MARGARET HOSP CHILDREN
http://www.ncbi.nlm.nih.gov/pubmed/8287953	"PRINCESS MARGARET HOSP CHILDREN,DEPT RESP MED,PERTH,AUSTRALIA"
http://www.ncbi.nlm.nih.gov/pubmed/8287953	sly pd
http://www.ncbi.nlm.nih.gov/pubmed/8287953	University of Western Australia
http://www.ncbi.nlm.nih.gov/pubmed/8287953	W AUSTRALIA RES INST CHILD HLTH
http://www.ncbi.nlm.nih.gov/pubmed/8287953	"W AUSTRALIA RES INST CHILD HLTH,DIV CLIN SCI,POB D184,PERTH,WA 6001,AUSTRALIA"
http://www.ncbi.nlm.nih.gov/pubmed/8301420	boat tf
http://www.ncbi.nlm.nih.gov/pubmed/8301420	"Department of Pediatrics, University of Washington School of Medicine, Children's Hospital and Medical Center, Seattle."
http://www.ncbi.nlm.nih.gov/pubmed/8301420	ramsey bw
http://www.ncbi.nlm.nih.gov/pubmed/8310295	allen pg
http://www.ncbi.nlm.nih.gov/pubmed/8310295	Childrens Hospital & Research Center Oakland
http://www.ncbi.nlm.nih.gov/pubmed/8310295	drazen jm
http://www.ncbi.nlm.nih.gov/pubmed/8310295	HARVARD UNIV
http://www.ncbi.nlm.nih.gov/pubmed/8310295	"HARVARD UNIV,BRIGHAM & WOMENS HOSP,SCH MED,DEPT MED,DIV EXPTL MED,BOSTON,MA 02115"
http://www.ncbi.nlm.nih.gov/pubmed/8310295	"HARVARD UNIV,BRIGHAM & WOMENS HOSP,SCH MED,DEPT MED,DIV RESP MED,BOSTON,MA 02115"
http://www.ncbi.nlm.nih.gov/pubmed/8310295	"HARVARD UNIV,CHILDRENS HOSP,SCH MED,DEPT PEDIAT,DIV RESP MED,BOSTON,MA 02115"
http://www.ncbi.nlm.nih.gov/pubmed/8310295	Harvard University
http://www.ncbi.nlm.nih.gov/pubmed/8310295	janmey pa
http://www.ncbi.nlm.nih.gov/pubmed/8310295	NHLBI NIH HHS
http://www.ncbi.nlm.nih.gov/pubmed/8310295	NIAMS NIH HHS
http://www.ncbi.nlm.nih.gov/pubmed/8310295	stossel tp
http://www.ncbi.nlm.nih.gov/pubmed/8310295	vasconcellos ca
http://www.ncbi.nlm.nih.gov/pubmed/8310295	wohl meb
http://www.ncbi.nlm.nih.gov/pubmed/8317790	aitken ml
http://www.ncbi.nlm.nih.gov/pubmed/8317790	astley sj
http://www.ncbi.nlm.nih.gov/pubmed/8317790	burke w
http://www.ncbi.nlm.nih.gov/pubmed/8317790	CHILDRENS HOSP MED CTR
http://www.ncbi.nlm.nih.gov/pubmed/8317790	"CHILDRENS HOSP MED CTR,DEPT PEDIAT,BOSTON,MA 02115"
http://www.ncbi.nlm.nih.gov/pubmed/8317790	colin aa
http://www.ncbi.nlm.nih.gov/pubmed/8317790	dorkin hl
http://www.ncbi.nlm.nih.gov/pubmed/8317790	eisenberg jd
http://www.ncbi.nlm.nih.gov/pubmed/8317790	fuchs hj
http://www.ncbi.nlm.nih.gov/pubmed/8317790	GENENTECH INC
http://www.ncbi.nlm.nih.gov/pubmed/8317790	"GENENTECH INC,DEPT CLIN RES,S SAN FRANCISCO,CA 94080"
http://www.ncbi.nlm.nih.gov/pubmed/8317790	"GENENTECH INC,DEPT PULM RES,S SAN FRANCISCO,CA 94080"
http://www.ncbi.nlm.nih.gov/pubmed/8317790	gibson rl
http://www.ncbi.nlm.nih.gov/pubmed/8317790	HARVARD UNIV
http://www.ncbi.nlm.nih.gov/pubmed/8317790	"HARVARD UNIV,SCH MED,DEPT PEDIAT,BOSTON,MA 02115"
http://www.ncbi.nlm.nih.gov/pubmed/8317790	Harvard University
http://www.ncbi.nlm.nih.gov/pubmed/8317790	harwood ir
http://www.ncbi.nlm.nih.gov/pubmed/8317790	meyerson lj
http://www.ncbi.nlm.nih.gov/pubmed/8317790	Oregon Health & Science University
http://www.ncbi.nlm.nih.gov/pubmed/8317790	OREGON HLTH SCI UNIV
http://www.ncbi.nlm.nih.gov/pubmed/8317790	"OREGON HLTH SCI UNIV,PORTLAND,OR 97201"
http://www.ncbi.nlm.nih.gov/pubmed/8317790	Oregon University System
http://www.ncbi.nlm.nih.gov/pubmed/8317790	Pennsylvania Commonwealth System of Higher Education (PCSHE)
http://www.ncbi.nlm.nih.gov/pubmed/8317790	ramsey bw
http://www.ncbi.nlm.nih.gov/pubmed/8317790	Roche Holding
http://www.ncbi.nlm.nih.gov/pubmed/8317790	schidlow dv
http://www.ncbi.nlm.nih.gov/pubmed/8317790	shak s
http://www.ncbi.nlm.nih.gov/pubmed/8317790	smith al
http://www.ncbi.nlm.nih.gov/pubmed/8317790	ST CHRISTOPHERS HOSP CHILDREN
http://www.ncbi.nlm.nih.gov/pubmed/8317790	"ST CHRISTOPHERS HOSP CHILDREN,PHILADELPHIA,PA 19133"
http://www.ncbi.nlm.nih.gov/pubmed/8317790	TEMPLE UNIV
http://www.ncbi.nlm.nih.gov/pubmed/8317790	"TEMPLE UNIV,HLTH SCI CTR,SCH MED,PHILADELPHIA,PA 19140"
http://www.ncbi.nlm.nih.gov/pubmed/8317790	Temple University
http://www.ncbi.nlm.nih.gov/pubmed/8317790	TUFTS UNIV
http://www.ncbi.nlm.nih.gov/pubmed/8317790	"TUFTS UNIV,SCH MED,DEPT PEDIAT,BOSTON,MA 02111"
http://www.ncbi.nlm.nih.gov/pubmed/8317790	Tufts University
http://www.ncbi.nlm.nih.gov/pubmed/8317790	UNIV CALIF SAN DIEGO
http://www.ncbi.nlm.nih.gov/pubmed/8317790	"UNIV CALIF SAN DIEGO,SCH MED,LA JOLLA,CA 92093"
http://www.ncbi.nlm.nih.gov/pubmed/8317790	UNIV CINCINNATI
http://www.ncbi.nlm.nih.gov/pubmed/8317790	"UNIV CINCINNATI,CINCINNATI,OH 45221"
http://www.ncbi.nlm.nih.gov/pubmed/8317790	UNIV WASHINGTON
http://www.ncbi.nlm.nih.gov/pubmed/8317790	"UNIV WASHINGTON,SCH MED,DEPT EPIDEMIOL,SEATTLE,WA 98195"
http://www.ncbi.nlm.nih.gov/pubmed/8317790	"UNIV WASHINGTON,SCH MED,DEPT MED,SEATTLE,WA 98195"
http://www.ncbi.nlm.nih.gov/pubmed/8317790	"UNIV WASHINGTON,SCH MED,DEPT PEDIAT,SEATTLE,WA 98195"
http://www.ncbi.nlm.nih.gov/pubmed/8317790	"UNIV WASHINGTON,SCH PUBL HLTH,SEATTLE,WA 98195"
http://www.ncbi.nlm.nih.gov/pubmed/8317790	University of California San Diego
http://www.ncbi.nlm.nih.gov/pubmed/8317790	University of California System
http://www.ncbi.nlm.nih.gov/pubmed/8317790	University of Cincinnati
http://www.ncbi.nlm.nih.gov/pubmed/8317790	University of Washington
http://www.ncbi.nlm.nih.gov/pubmed/8317790	University of Washington Seattle
http://www.ncbi.nlm.nih.gov/pubmed/8317790	wilmott rw
http://www.ncbi.nlm.nih.gov/pubmed/8317790	wohl meb
http://www.ncbi.nlm.nih.gov/pubmed/8327283	ARIZONA HLTH SCI CTR
http://www.ncbi.nlm.nih.gov/pubmed/8327283	"ARIZONA HLTH SCI CTR,DEPT PEDIAT,TUCSON,AZ 85724"
http://www.ncbi.nlm.nih.gov/pubmed/8327283	knowles mr
http://www.ncbi.nlm.nih.gov/pubmed/8327283	schidlow dv
http://www.ncbi.nlm.nih.gov/pubmed/8327283	taussig lm
http://www.ncbi.nlm.nih.gov/pubmed/8327283	UNIV N CAROLINA
http://www.ncbi.nlm.nih.gov/pubmed/8327283	"UNIV N CAROLINA,SCH MED,DEPT INTERNAL MED,CHAPEL HILL,NC 27514"
http://www.ncbi.nlm.nih.gov/pubmed/8327283	University of North Carolina
http://www.ncbi.nlm.nih.gov/pubmed/8327283	University of North Carolina Chapel Hill
http://www.ncbi.nlm.nih.gov/pubmed/8334036	AARHUS UNIV
http://www.ncbi.nlm.nih.gov/pubmed/8334036	AARHUS UNIV HOSP
http://www.ncbi.nlm.nih.gov/pubmed/8334036	"AARHUS UNIV HOSP,DEPT ORTHOPAED SURG,BIOMECH LAB,DK-8000 AARHUS,DENMARK"
http://www.ncbi.nlm.nih.gov/pubmed/8334036	"AARHUS UNIV,STEREOL RES LAB,DK-8000 AARHUS,DENMARK"
http://www.ncbi.nlm.nih.gov/pubmed/8334036	Aarhus University
http://www.ncbi.nlm.nih.gov/pubmed/8334036	gundersen hjg
http://www.ncbi.nlm.nih.gov/pubmed/8334036	odgaard a
http://www.ncbi.nlm.nih.gov/pubmed/8342888	basheda s
http://www.ncbi.nlm.nih.gov/pubmed/8342888	CLEVELAND CLIN EDUC FDN
http://www.ncbi.nlm.nih.gov/pubmed/8342888	"CLEVELAND CLIN EDUC FDN,DEPT BIOSTAT & EPIDEMIOL,CLEVELAND,OH 44106"
http://www.ncbi.nlm.nih.gov/pubmed/8342888	Cleveland Clinic Foundation
http://www.ncbi.nlm.nih.gov/pubmed/8342888	goormastic m
http://www.ncbi.nlm.nih.gov/pubmed/8342888	laskowski d
http://www.ncbi.nlm.nih.gov/pubmed/8342888	mccarthy k
http://www.ncbi.nlm.nih.gov/pubmed/8342888	stoller jk
http://www.ncbi.nlm.nih.gov/pubmed/8365299	chernick v
http://www.ncbi.nlm.nih.gov/pubmed/8365299	dekoster j
http://www.ncbi.nlm.nih.gov/pubmed/8365299	holbrow j
http://www.ncbi.nlm.nih.gov/pubmed/8365299	sanchez i
http://www.ncbi.nlm.nih.gov/pubmed/8365299	UNIV MANITOBA
http://www.ncbi.nlm.nih.gov/pubmed/8365299	"UNIV MANITOBA,CHILDRENS HOSP,DEPT PEDIAT,PEDIAT RESPIROL SECT,770 BANNATYNE AVE,WINNIPEG R3E 0W3,MANITOBA,CANADA"
http://www.ncbi.nlm.nih.gov/pubmed/8365299	University of Manitoba
http://www.ncbi.nlm.nih.gov/pubmed/8367223	ackerman v
http://www.ncbi.nlm.nih.gov/pubmed/8367223	eigen h
http://www.ncbi.nlm.nih.gov/pubmed/8367223	montgomery gl
http://www.ncbi.nlm.nih.gov/pubmed/8367223	NHLBI NIH HHS
http://www.ncbi.nlm.nih.gov/pubmed/8367223	tepper rs
http://www.ncbi.nlm.nih.gov/pubmed/8369141	durie pr
http://www.ncbi.nlm.nih.gov/pubmed/8369141	HOSP SICK CHILDREN
http://www.ncbi.nlm.nih.gov/pubmed/8369141	"HOSP SICK CHILDREN,DEPT PAEDIAT,DIV GASTROENTEROL,TORONTO M5G 1X8,ONTARIO,CANADA"
http://www.ncbi.nlm.nih.gov/pubmed/8369141	"HOSP SICK CHILDREN,RES INST,TORONTO M5G 1X8,ONTARIO,CANADA"
http://www.ncbi.nlm.nih.gov/pubmed/8369141	pencharz pb
http://www.ncbi.nlm.nih.gov/pubmed/8369141	UNIV TORONTO
http://www.ncbi.nlm.nih.gov/pubmed/8369141	"UNIV TORONTO,DEPT NUTR SCI,TORONTO M5S 1A1,ONTARIO,CANADA"
http://www.ncbi.nlm.nih.gov/pubmed/8369141	"UNIV TORONTO,DEPT PAEDIAT,TORONTO M5S 1A1,ONTARIO,CANADA"
http://www.ncbi.nlm.nih.gov/pubmed/8369141	University of Toronto
http://www.ncbi.nlm.nih.gov/pubmed/8380814	cantin a
http://www.ncbi.nlm.nih.gov/pubmed/8380814	"Unití© de Recherche Pulmonaire, Centre Hospitalier Universitaire de Sherbrooke, Quebec, Canada."
http://www.ncbi.nlm.nih.gov/pubmed/8380814	woods de
http://www.ncbi.nlm.nih.gov/pubmed/838231	dimagno ep
http://www.ncbi.nlm.nih.gov/pubmed/838231	go vl
http://www.ncbi.nlm.nih.gov/pubmed/838231	matsehe jw
http://www.ncbi.nlm.nih.gov/pubmed/8419592	fitzsimmons sc
http://www.ncbi.nlm.nih.gov/pubmed/8441142	kita h
http://www.ncbi.nlm.nih.gov/pubmed/8441142	sohen s
http://www.ncbi.nlm.nih.gov/pubmed/8441142	tanaka sk
http://www.ncbi.nlm.nih.gov/pubmed/8463899	abman sh
http://www.ncbi.nlm.nih.gov/pubmed/8463899	accurso fj
http://www.ncbi.nlm.nih.gov/pubmed/8463899	CHILDRENS HOSP
http://www.ncbi.nlm.nih.gov/pubmed/8463899	"CHILDRENS HOSP,DENVER,CO 80218"
http://www.ncbi.nlm.nih.gov/pubmed/8463899	Childrens Hospital & Research Center Oakland
http://www.ncbi.nlm.nih.gov/pubmed/8463899	mohon rt
http://www.ncbi.nlm.nih.gov/pubmed/8463899	NCRR NIH HHS
http://www.ncbi.nlm.nih.gov/pubmed/8463899	NHLBI NIH HHS
http://www.ncbi.nlm.nih.gov/pubmed/8463899	PHS HHS
http://www.ncbi.nlm.nih.gov/pubmed/8463899	seltzer wk
http://www.ncbi.nlm.nih.gov/pubmed/8463899	UNIV COLORADO
http://www.ncbi.nlm.nih.gov/pubmed/8463899	"UNIV COLORADO,SCH MED,DEPT PEDIAT,DENVER,CO 80202"
http://www.ncbi.nlm.nih.gov/pubmed/8463899	University of Colorado Denver
http://www.ncbi.nlm.nih.gov/pubmed/8463899	University of Colorado System
http://www.ncbi.nlm.nih.gov/pubmed/8463899	wagener js
http://www.ncbi.nlm.nih.gov/pubmed/8474788	dockery dw
http://www.ncbi.nlm.nih.gov/pubmed/8474788	fay me
http://www.ncbi.nlm.nih.gov/pubmed/8474788	ferris bg
http://www.ncbi.nlm.nih.gov/pubmed/8474788	HARVARD UNIV
http://www.ncbi.nlm.nih.gov/pubmed/8474788	"HARVARD UNIV,BRIGHAM & WOMENS HOSP,SCH MED,CHANNING LAB,BOSTON,MA 02115"
http://www.ncbi.nlm.nih.gov/pubmed/8474788	Harvard University
http://www.ncbi.nlm.nih.gov/pubmed/8474788	NIEHS NIH HHS
http://www.ncbi.nlm.nih.gov/pubmed/8474788	wang xb
http://www.ncbi.nlm.nih.gov/pubmed/8474788	wypij d
http://www.ncbi.nlm.nih.gov/pubmed/8484643	baron d
http://www.ncbi.nlm.nih.gov/pubmed/8484643	bugnon d
http://www.ncbi.nlm.nih.gov/pubmed/8484643	caillon j
http://www.ncbi.nlm.nih.gov/pubmed/8484643	horeau d
http://www.ncbi.nlm.nih.gov/pubmed/8484643	juvin me
http://www.ncbi.nlm.nih.gov/pubmed/8484643	kergueris mf
http://www.ncbi.nlm.nih.gov/pubmed/8484643	"Laboratoire d'antibiologie clinique et expí©rimentale, Facultí© de mí©decine, Nantes, France."
http://www.ncbi.nlm.nih.gov/pubmed/8484643	le conte p
http://www.ncbi.nlm.nih.gov/pubmed/8484643	peltier p
http://www.ncbi.nlm.nih.gov/pubmed/8484643	potel g
http://www.ncbi.nlm.nih.gov/pubmed/8486568	bergogneberezin e
http://www.ncbi.nlm.nih.gov/pubmed/8486568	decre d
http://www.ncbi.nlm.nih.gov/pubmed/8486576	baer s
http://www.ncbi.nlm.nih.gov/pubmed/8486576	blanshard j
http://www.ncbi.nlm.nih.gov/pubmed/8486576	BRISTOL ROYAL INFIRM & GEN HOSP
http://www.ncbi.nlm.nih.gov/pubmed/8486576	"BRISTOL ROYAL INFIRM & GEN HOSP,DEPT OTOLARYNGOL,BRISTOL BS2 8HW,AVON,ENGLAND"
http://www.ncbi.nlm.nih.gov/pubmed/8486576	carswell f
http://www.ncbi.nlm.nih.gov/pubmed/8486576	coleman m
http://www.ncbi.nlm.nih.gov/pubmed/8486576	mukhopadhyay s
http://www.ncbi.nlm.nih.gov/pubmed/8486576	UNIV BRISTOL
http://www.ncbi.nlm.nih.gov/pubmed/8486576	"UNIV BRISTOL,DEPT CHILD HLTH,BRISTOL BS8 1TH,AVON,ENGLAND"
http://www.ncbi.nlm.nih.gov/pubmed/8486576	University of Bristol
http://www.ncbi.nlm.nih.gov/pubmed/8496768	hillermeier c
http://www.ncbi.nlm.nih.gov/pubmed/8496768	nasr sz
http://www.ncbi.nlm.nih.gov/pubmed/8496768	NCRR NIH HHS
http://www.ncbi.nlm.nih.gov/pubmed/8496768	oleary mh
http://www.ncbi.nlm.nih.gov/pubmed/8496768	UNIV MICHIGAN
http://www.ncbi.nlm.nih.gov/pubmed/8496768	"UNIV MICHIGAN,MED CTR,GASTROENTEROL SECT,ANN ARBOR,MI 48109"
http://www.ncbi.nlm.nih.gov/pubmed/8496768	"UNIV MICHIGAN,MED CTR,PEDIAT PULM SECT,ANN ARBOR,MI 48109"
http://www.ncbi.nlm.nih.gov/pubmed/8496768	University of Michigan
http://www.ncbi.nlm.nih.gov/pubmed/8496768	University of Michigan System
http://www.ncbi.nlm.nih.gov/pubmed/8497284	astley sj
http://www.ncbi.nlm.nih.gov/pubmed/8497284	dorkin hl
http://www.ncbi.nlm.nih.gov/pubmed/8497284	eisenberg jd
http://www.ncbi.nlm.nih.gov/pubmed/8497284	gibson rl
http://www.ncbi.nlm.nih.gov/pubmed/8497284	harwood ir
http://www.ncbi.nlm.nih.gov/pubmed/8497284	kravitz rm
http://www.ncbi.nlm.nih.gov/pubmed/8497284	mcburnie ma
http://www.ncbi.nlm.nih.gov/pubmed/8497284	Oregon Health & Science University
http://www.ncbi.nlm.nih.gov/pubmed/8497284	OREGON HLTH SCI UNIV
http://www.ncbi.nlm.nih.gov/pubmed/8497284	"OREGON HLTH SCI UNIV,DEPT PEDIAT,PORTLAND,OR 97201"
http://www.ncbi.nlm.nih.gov/pubmed/8497284	Oregon University System
http://www.ncbi.nlm.nih.gov/pubmed/8497284	Pennsylvania Commonwealth System of Higher Education (PCSHE)
http://www.ncbi.nlm.nih.gov/pubmed/8497284	ramsey bw
http://www.ncbi.nlm.nih.gov/pubmed/8497284	schidlow dv
http://www.ncbi.nlm.nih.gov/pubmed/8497284	smith al
http://www.ncbi.nlm.nih.gov/pubmed/8497284	TEMPLE UNIV
http://www.ncbi.nlm.nih.gov/pubmed/8497284	"TEMPLE UNIV,HLTH SCI CTR,SCH MED,DEPT PEDIAT,PHILADELPHIA,PA 19140"
http://www.ncbi.nlm.nih.gov/pubmed/8497284	Temple University
http://www.ncbi.nlm.nih.gov/pubmed/8497284	TUFTS UNIV
http://www.ncbi.nlm.nih.gov/pubmed/8497284	"TUFTS UNIV,SCH MED,DEPT PEDIAT,BOSTON,MA 02111"
http://www.ncbi.nlm.nih.gov/pubmed/8497284	Tufts University
http://www.ncbi.nlm.nih.gov/pubmed/8497284	UNIV CALIF SAN DIEGO
http://www.ncbi.nlm.nih.gov/pubmed/8497284	"UNIV CALIF SAN DIEGO,SCH MED,DEPT PEDIAT,SAN DIEGO,CA 92103"
http://www.ncbi.nlm.nih.gov/pubmed/8497284	UNIV CINCINNATI
http://www.ncbi.nlm.nih.gov/pubmed/8497284	"UNIV CINCINNATI,DEPT PEDIAT,CINCINNATI,OH 45221"
http://www.ncbi.nlm.nih.gov/pubmed/8497284	UNIV WASHINGTON
http://www.ncbi.nlm.nih.gov/pubmed/8497284	"UNIV WASHINGTON,SCH COMMUNITY MED,DEPT BIOSTAT,SEATTLE,WA 98195"
http://www.ncbi.nlm.nih.gov/pubmed/8497284	"UNIV WASHINGTON,SCH COMMUNITY MED,DEPT EPIDEMIOL,SEATTLE,WA 98195"
http://www.ncbi.nlm.nih.gov/pubmed/8497284	"UNIV WASHINGTON,SCH COMMUNITY MED,DEPT PEDIAT,SEATTLE,WA 98195"
http://www.ncbi.nlm.nih.gov/pubmed/8497284	"UNIV WASHINGTON,SCH MED,DEPT BIOSTAT,SEATTLE,WA 98195"
http://www.ncbi.nlm.nih.gov/pubmed/8497284	"UNIV WASHINGTON,SCH MED,DEPT EPIDEMIOL,SEATTLE,WA 98195"
http://www.ncbi.nlm.nih.gov/pubmed/8497284	"UNIV WASHINGTON,SCH MED,DEPT PEDIAT,SEATTLE,WA 98195"
http://www.ncbi.nlm.nih.gov/pubmed/8497284	"UNIV WASHINGTON,SCH PUBL HLTH,DEPT BIOSTAT,SEATTLE,WA 98195"
http://www.ncbi.nlm.nih.gov/pubmed/8497284	"UNIV WASHINGTON,SCH PUBL HLTH,DEPT EPIDEMIOL,SEATTLE,WA 98195"
http://www.ncbi.nlm.nih.gov/pubmed/8497284	"UNIV WASHINGTON,SCH PUBL HLTH,DEPT PEDIAT,SEATTLE,WA 98195"
http://www.ncbi.nlm.nih.gov/pubmed/8497284	University of California San Diego
http://www.ncbi.nlm.nih.gov/pubmed/8497284	University of California System
http://www.ncbi.nlm.nih.gov/pubmed/8497284	University of Cincinnati
http://www.ncbi.nlm.nih.gov/pubmed/8497284	University of Washington
http://www.ncbi.nlm.nih.gov/pubmed/8497284	University of Washington Seattle
http://www.ncbi.nlm.nih.gov/pubmed/8497284	wentz kr
http://www.ncbi.nlm.nih.gov/pubmed/8497284	wilmott rw
http://www.ncbi.nlm.nih.gov/pubmed/8539601	goldberg jb
http://www.ncbi.nlm.nih.gov/pubmed/8539601	grout m
http://www.ncbi.nlm.nih.gov/pubmed/8539601	HARVARD UNIV
http://www.ncbi.nlm.nih.gov/pubmed/8539601	"HARVARD UNIV,BRIGHAM & WOMENS HOSP,SCH MED,DEPT MED,BOSTON,MA 02115"
http://www.ncbi.nlm.nih.gov/pubmed/8539601	Harvard University
http://www.ncbi.nlm.nih.gov/pubmed/8539601	johnson lg
http://www.ncbi.nlm.nih.gov/pubmed/8539601	NHLBI NIH HHS
http://www.ncbi.nlm.nih.gov/pubmed/8539601	NIAID NIH HHS
http://www.ncbi.nlm.nih.gov/pubmed/8539601	olsen jc
http://www.ncbi.nlm.nih.gov/pubmed/8539601	pier gb
http://www.ncbi.nlm.nih.gov/pubmed/8539601	UNIV N CAROLINA
http://www.ncbi.nlm.nih.gov/pubmed/8539601	"UNIV N CAROLINA,DEPT MED,DIV PULM DIS,CHAPEL HILL,NC 27599"
http://www.ncbi.nlm.nih.gov/pubmed/8539601	University of North Carolina
http://www.ncbi.nlm.nih.gov/pubmed/8539601	University of North Carolina Chapel Hill
http://www.ncbi.nlm.nih.gov/pubmed/8539601	yankaskas jr
http://www.ncbi.nlm.nih.gov/pubmed/8539601	zaidi ts
http://www.ncbi.nlm.nih.gov/pubmed/8543293	debraekeleer m
http://www.ncbi.nlm.nih.gov/pubmed/8543293	hazout s
http://www.ncbi.nlm.nih.gov/pubmed/8543293	INED
http://www.ncbi.nlm.nih.gov/pubmed/8543293	"INED,PARIS 15,FRANCE"
http://www.ncbi.nlm.nih.gov/pubmed/8543293	Institut National de la Sante et de la Recherche Medicale (Inserm)
http://www.ncbi.nlm.nih.gov/pubmed/8543293	lucotte g
http://www.ncbi.nlm.nih.gov/pubmed/8543293	PRES University Sorbonne Paris Cite
http://www.ncbi.nlm.nih.gov/pubmed/8543293	UNIV PARIS 07
http://www.ncbi.nlm.nih.gov/pubmed/8543293	"UNIV PARIS 07,CTR BIOINFORMAT,INSERM,U263,PARIS 5,FRANCE"
http://www.ncbi.nlm.nih.gov/pubmed/8543293	University of Paris Diderot - Paris VII
http://www.ncbi.nlm.nih.gov/pubmed/8543489	BOOTH HALL CHILDRENS HOSP
http://www.ncbi.nlm.nih.gov/pubmed/8543489	"BOOTH HALL CHILDRENS HOSP,DEPT MICROBIOL,MANCHESTER,LANCS,ENGLAND"
http://www.ncbi.nlm.nih.gov/pubmed/8543489	byrne s
http://www.ncbi.nlm.nih.gov/pubmed/8543489	connor p
http://www.ncbi.nlm.nih.gov/pubmed/8543489	david tj
http://www.ncbi.nlm.nih.gov/pubmed/8543489	dodd me
http://www.ncbi.nlm.nih.gov/pubmed/8543489	doughty i
http://www.ncbi.nlm.nih.gov/pubmed/8543489	jenney m
http://www.ncbi.nlm.nih.gov/pubmed/8543489	maddison j
http://www.ncbi.nlm.nih.gov/pubmed/8543489	MONSALL HOSP
http://www.ncbi.nlm.nih.gov/pubmed/8543489	"MONSALL HOSP,MANCHESTER,LANCS,ENGLAND"
http://www.ncbi.nlm.nih.gov/pubmed/8543489	UNIV MANCHESTER
http://www.ncbi.nlm.nih.gov/pubmed/8543489	"UNIV MANCHESTER,DEPT HLTH,MANCHESTER,LANCS,ENGLAND"
http://www.ncbi.nlm.nih.gov/pubmed/8543489	University of Manchester
http://www.ncbi.nlm.nih.gov/pubmed/8543489	webb ak
http://www.ncbi.nlm.nih.gov/pubmed/8557666	kopito rr
http://www.ncbi.nlm.nih.gov/pubmed/8557666	krouse me
http://www.ncbi.nlm.nih.gov/pubmed/8557666	NIDDK NIH HHS
http://www.ncbi.nlm.nih.gov/pubmed/8557666	sato s
http://www.ncbi.nlm.nih.gov/pubmed/8557666	STANFORD UNIV
http://www.ncbi.nlm.nih.gov/pubmed/8557666	"STANFORD UNIV,DEPT BIOL SCI,STANFORD,CA 94305"
http://www.ncbi.nlm.nih.gov/pubmed/8557666	"STANFORD UNIV,DEPT PSYCHOL,CYST FIBROSIS RES LAB,STANFORD,CA 94305"
http://www.ncbi.nlm.nih.gov/pubmed/8557666	Stanford University
http://www.ncbi.nlm.nih.gov/pubmed/8557666	ward cl
http://www.ncbi.nlm.nih.gov/pubmed/8557666	wine jj
http://www.ncbi.nlm.nih.gov/pubmed/8570304	ahrens rc
http://www.ncbi.nlm.nih.gov/pubmed/8570304	balough k
http://www.ncbi.nlm.nih.gov/pubmed/8570304	fick rb
http://www.ncbi.nlm.nih.gov/pubmed/8570304	mccubbin m
http://www.ncbi.nlm.nih.gov/pubmed/8570304	NCRR NIH HHS
http://www.ncbi.nlm.nih.gov/pubmed/8570304	smits w
http://www.ncbi.nlm.nih.gov/pubmed/8570304	UNIV IOWA
http://www.ncbi.nlm.nih.gov/pubmed/8570304	"UNIV IOWA,COLL MED,DEPT MED,DIV PULM & CRIT CARE,IOWA CITY,IA"
http://www.ncbi.nlm.nih.gov/pubmed/8570304	"UNIV IOWA,COLL MED,DEPT PEDIAT,DIV ALLERGY & PULM,IOWA CITY,IA"
http://www.ncbi.nlm.nih.gov/pubmed/8570304	UNIV MISSOURI
http://www.ncbi.nlm.nih.gov/pubmed/8570304	"UNIV MISSOURI,CHILDRENS MERCY HOSP,PEDIAT PULMONOL SECT,KANSAS CITY,MO 64108"
http://www.ncbi.nlm.nih.gov/pubmed/8570304	University of Iowa
http://www.ncbi.nlm.nih.gov/pubmed/8570304	University of Missouri Kansas City
http://www.ncbi.nlm.nih.gov/pubmed/8570304	University of Missouri System
http://www.ncbi.nlm.nih.gov/pubmed/8570304	weinberger m
http://www.ncbi.nlm.nih.gov/pubmed/8575589	bakker w
